modnr, pixrad, nmod, tot_t, mod_t, burn_t
000198, 8, 100, 2.41, 0.87, 1.16
000059, 5, 200, 1.61, 0.84, 0.61
001061, 8, 200, 3.16, 1.84, 1.01
000621, 8, 200, 2.70, 1.36, 1.04
002277, 12, 200, 102.22, 20.73, 72.90
001674, 8, 200, 3.73, 2.20, 1.13
000759, 5, 200, 1.77, 0.90, 0.66
002775, 8, 200, 10.24, 3.11, 5.95
000983, 8, 200, 3.24, 1.87, 1.02
001976, 8, 200, 9.67, 3.16, 5.43
001658, 7, 300, 5.34, 2.00, 2.70
000995, 8, 200, 2.73, 1.35, 1.06
001670, 7, 300, 5.32, 1.98, 2.66
000271, 8, 200, 3.21, 1.65, 1.16
002727, 8, 200, 9.34, 3.14, 5.15
001959, 11, 200, 8.45, 2.88, 4.40
001557, 8, 200, 3.15, 1.92, 0.91
001367, 8, 200, 3.43, 2.10, 1.00
000549, 8, 200, 9.81, 3.36, 5.42
000136, 8, 1000, 19.15, 13.06, 5.15
003488, 8, 200, 3.75, 2.19, 1.13
002856, 8, 200, 3.28, 1.92, 1.03
002518, 8, 200, 2.59, 1.36, 0.92
002970, 8, 200, 3.70, 2.16, 1.13
002472, 8, 200, 9.73, 3.16, 5.48
000954, 8, 200, 2.65, 1.42, 0.92
001319, 8, 200, 2.74, 1.37, 1.07
001438, 8, 200, 3.12, 1.57, 1.17
002224, 8, 200, 3.08, 1.86, 0.89
001621, 8, 200, 2.61, 1.39, 0.92
000377, 8, 200, 9.06, 3.06, 5.02
001111, 5, 200, 1.57, 0.77, 0.62
002601, 12, 200, 88.38, 19.52, 59.92
003350, 8, 200, 3.22, 1.87, 1.02
000088, 5, 200, 2.72, 1.29, 1.15
000944, 8, 200, 6.60, 1.64, 4.14
001945, 9, 200, 4.94, 2.05, 2.15
003418, 12, 200, 86.06, 16.67, 60.20
001816, 11, 200, 8.97, 2.90, 5.00
001295, 8, 200, 3.19, 1.84, 1.03
001418, 8, 200, 3.15, 1.60, 1.17
001189, 8, 200, 2.74, 1.38, 1.02
000998, 8, 200, 2.76, 1.38, 1.07
001661, 7, 300, 4.16, 1.67, 2.00
002340, 8, 200, 9.62, 3.34, 5.24
003287, 8, 200, 8.41, 1.94, 5.48
000135, 8, 1000, 18.83, 12.88, 5.00
000102, 5, 200, 1.84, 0.96, 0.70
000654, 8, 200, 9.50, 3.11, 5.33
000899, 8, 200, 3.10, 1.86, 0.90
001258, 8, 200, 2.74, 1.34, 1.08
001462, 5, 200, 1.58, 1.25, 0.22
002858, 8, 200, 3.70, 2.18, 1.13
001428, 8, 200, 3.19, 1.85, 1.03
001783, 10, 200, 32.85, 7.37, 22.24
001570, 8, 200, 3.72, 2.18, 1.15
001720, 7, 300, 4.45, 1.66, 2.29
001461, 5, 200, 1.03, 0.73, 0.21
001368, 8, 200, 2.99, 1.62, 1.07
000110, 5, 200, 1.99, 0.62, 1.10
001365, 8, 200, 3.15, 1.82, 1.01
002517, 8, 200, 9.03, 2.53, 5.48
000276, 8, 200, 8.71, 2.58, 5.08
